calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,goal_location,how_far_from_goal_oracle,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
0.19268798828125,131.11650085449222,"(-7.158063979954541, -0.4517727388533277)","(6.426309102768404, 2.019761095200398)","(6.449999999999999, 1.8500000000000014)",0.17140620775011667,False,True,"(-6.75, 1.3000000000000007)"
0.26961493492126465,44.32293701171875,"(8.276267345906149, -1.012700300929359)","(6.574416510987357, -0.06256686786294244)","(6.600000000000001, -0.049999999999998934)",0.028503352047518832,True,False,"(6.449999999999999, -1.4000000000000004)"
0.2957282066345215,150.60535287857056,"(-1.7667965144022126, -3.291585019754523)","(-5.861861857920807, 2.937094030006226)","(-5.85, 2.9000000000000004)",0.03894445705663622,False,True,"(-2.8, -4.199999999999999)"
0.288330078125,168.89338302612302,"(4.81476218247916, 0.982182938184124)","(-6.2527563727411835, -1.4053540817349104)","(-6.1, -1.4499999999999993)",0.15914699944006636,False,True,"(5.0, -0.8499999999999996)"
0.2436370849609375,45.6009418964386,"(-6.88478116445314, -6.15314479006067)","(-4.788883305685038, -1.3589219235289913)","(-4.85, -1.299999999999999)",0.08489430720810934,False,True,"(-5.5, -5.0)"
0.4648768901824951,138.59184098243713,"(7.723092852977116, -2.8508925062312347)","(-2.0625102113772398, -4.997474445293777)","(-2.1999999999999993, -5.0)",0.13751298266747478,False,True,"(6.800000000000001, -3.5)"
0.33194899559021,71.96646499633789,"(1.8266301247804497, -1.8990005671822443)","(6.00546964779914, 0.8611535820389465)","(6.050000000000001, 0.75)",0.11974168475189205,False,True,"(3.4000000000000004, -2.0999999999999996)"
0.2903308868408203,54.82283806800842,"(-5.813059803946012, -4.768049945973932)","(-2.788479084632031, -1.0208579301623828)","(-2.8, -0.9000000000000004)",0.12140581029774156,False,True,"(-6.65, -5.75)"
0.21540093421936035,109.69843220710754,"(7.9311384049278555, 4.21884672684119)","(-1.6399746368341324, -3.2462431577740647)","(-1.75, -3.1999999999999993)",0.11934827263391025,False,True,"(6.350000000000001, 4.100000000000001)"
0.3980238437652588,37.36599898338318,"(0.09049622258868584, -3.617601314219619)","(2.9638965267046684, -2.7006772201227314)","(2.950000000000001, -2.6499999999999995)",0.05254801703034431,False,True,"(-0.9000000000000004, -4.55)"
0.2173550128936768,64.49888610839844,"(1.7370943604449045, -0.6507521259866833)","(-4.002216353077367, -2.6248094657735783)","(-4.05, -2.5)",0.13364385380522684,False,True,"(2.6000000000000014, -1.5999999999999996)"
0.29253196716308594,148.4026761054993,"(-5.614890664459334, 1.4360388604755605)","(6.603932404195816, 3.7921124917940934)","(6.650000000000002, 3.6500000000000004)",0.14939271637902574,False,True,"(-6.85, 1.9000000000000004)"
20.015774011611946,43.50462889671326,"(4.392637644925647, -3.144621033957823)","(5.598972268133562, -1.9002385897905802)","(-6.55, -3.9499999999999993)",12.320675671839675,True,False,"(5.600000000000001, -1.9000000000000004)"
0.3176259994506836,33.8071129322052,"(-3.43028666439992, -2.988549157598607)","(-4.16720792039632, -4.4972867105585745)","(-4.199999999999999, -4.449999999999999)",0.057544360976419635,False,True,"(-2.0, -3.05)"
0.20437884330749512,140.71319818496704,"(3.3832110824645554, -1.8266703222762488)","(-6.507702635374541, 0.4580852311883731)","(-6.449999999999999, 0.40000000000000036)",0.08187483258837222,False,True,"(4.050000000000001, -3.1999999999999993)"
